시도명,시군구명,종량제봉투종류,가격,쓰레기봉투 용량,인구수
경상북도,포항시,규격봉투,450,10L,487055.0
인천광역시,옹진군,규격봉투,440,10L,19376.0
인천광역시,남동구,규격봉투(재사용포함),440,10L,479343.0
인천광역시,부평구,규격봉투(재사용포함),440,10L,488829.0
부산광역시,수영구,규격봉투(재사용포함),430,10L,168513.0
부산광역시,서구,규격봉투,430,10L,101320.0
부산광역시,사하구,규격봉투(재사용포함),430,10L,282633.0
부산광역시,동구,규격봉투,430,10L,83432.0
부산광역시,동래구,규격봉투(재사용포함),430,10L,271437.0
부산광역시,금정구,규격봉투(재사용포함),430,10L,205968.0
부산광역시,해운대구,규격봉투,430,10L,370920.0
부산광역시,중구,규격봉투(재사용포함),430,10L,36375.0
부산광역시,영도구,규격봉투,430,10L,100748.0
경기도,의정부시,규격봉투(재사용포함),420,10L,461816.0
경상남도,양산시,규격봉투(재사용포함),400,10L,361433.0
경상남도,김해시,규격봉투,400,10L,532665.0
경기도,고양시,규격봉투,400,10L,1057471.0
인천광역시,미추홀구,규격봉투(재사용포함),390,10L,417725.0
부산광역시,연제구,규격봉투,390,10L,211509.0
인천광역시,연수구,규격봉투(재사용포함),390,10L,410308.0
경기도,군포시,규격봉투(재사용포함),380,10L,249770.0
광주광역시,남구,규격봉투(재사용포함),380,10L,206083.0
광주광역시,서구,규격봉투,380,10L,274925.0
광주광역시,북구,규격봉투,380,10L,416326.0
광주광역시,동구,규격봉투,380,10L,105005.0
광주광역시,광산구,규격봉투,380,10L,384040.0
경상남도,밀양시,규격봉투(재사용포함),370,10L,98619.0
경기도,남양주시,규격봉투,370,10L,727717.0
경기도,광명시,규격봉투,360,10L,303479.0
경기도,김포시,규격봉투(재사용포함),360,10L,484047.0
전북특별자치도,부안군,규격봉투(재사용포함),350,10L,47009.0
경상남도,거제시,재사용규격봉투,350,10L,229221.0
경상남도,창원시,규격봉투,350,10L,986759.0
경기도,시흥시,규격봉투(재사용포함),350,10L,514804.0
경기도,의왕시,규격봉투(재사용포함),350,10L,163071.0
대구광역시,중구,규격봉투,340,10L,101643.0
부산광역시,사상구,규격봉투(재사용포함),340,10L,192718.0
부산광역시,북구,규격봉투(재사용포함),340,10L,260994.0
대구광역시,수성구,규격봉투,340,10L,408527.0
대구광역시,동구,규격봉투,340,10L,338260.0
대구광역시,달서구,규격봉투,340,10L,514075.0
경상남도,통영시,재사용규격봉투,340,10L,115818.0
대구광역시,남구,재사용규격봉투,340,10L,140620.0
충청북도,진천군,규격봉투,340,10L,85558.0
대구광역시,북구,규격봉투,340,10L,407548.0
대구광역시,서구,재사용규격봉투,340,10L,163748.0
대구광역시,달성군,규격봉투,340,10L,252210.0
